assessment_id,assessment_name,job_family,job_level,industry,language,test_type,remote_testing,adaptive_irt,duration_minutes,difficulty,skills_assessed
SHL001,Account Manager Solution,Business,Manager,Sales,English,CPAB,Yes,Yes,60,Medium,client management negotiation communication
SHL002,Graduate Cognitive Ability Test,General,Graduate,Any,English,C,Yes,Yes,45,Medium,logical reasoning numerical reasoning
SHL003,IT Programmer Skills Test,Information Technology,Entry-Level,Technology,English,A,Yes,No,60,Hard,java python problem solving
SHL004,Customer Service Personality Profile,Customer Service,Front Line Manager,Retail,English,P,Yes,No,30,Easy,empathy communication stress handling
SHL005,Sales Aptitude Assessment,Sales,Entry-Level,Retail,English,A,Yes,No,40,Medium,persuasion negotiation reasoning
SHL006,Clerical Accuracy Test,Clerical,Entry-Level,Banking/Finance,English,A,Yes,No,35,Easy,data accuracy attention to detail
SHL007,Leadership Potential Questionnaire,Business,Manager,Any,English,P,Yes,No,45,Medium,leadership decision making
SHL008,Graduate Behavioral Assessment,General,Graduate,Any,English,B,Yes,No,30,Easy,teamwork adaptability
SHL009,Data Analyst Cognitive Test,Information Technology,Mid-Professional,Technology,English,C,Yes,Yes,50,Hard,analytical thinking data interpretation
SHL010,Call Center Simulation Test,Contact Center,Entry-Level,Telecommunications,English,B,Yes,No,45,Medium,customer handling multitasking
SHL011,Executive Reasoning Assessment,Business,Executive,Any,English,C,Yes,Yes,60,Hard,strategic thinking problem solving
SHL012,Healthcare Situational Judgment Test,Safety,Front Line Manager,Healthcare,English,B,Yes,No,40,Medium,decision making ethics
SHL013,Finance Numerical Ability Test,Business,Entry-Level,Banking/Finance,English,A,Yes,Yes,45,Hard,numerical analysis accuracy
SHL014,IT Support Skills Test,Information Technology,Entry-Level,Technology,English,A,Yes,No,50,Medium,troubleshooting networking basics
SHL015,Graduate IT Aptitude Test,Information Technology,Graduate,Technology,English,A,Yes,No,40,Medium,logical thinking programming basics
